,song_title,full_lyrics
0,A Milli,"Bangladesh
Young Money!
You dig?
Mack, I'm going in

A millionaire, I'm a Young Money millionaire
Tougher than Nigerian hair
My criteria compared to your career just isn't fair
I'm a venereal disease, like a menstrual, bleed
Through the pencil, and leak on the sheet of the tablet in my mind
‘Cause I don't write shit, ‘cause I ain't got time
‘Cause my seconds, minutes, hours go to the almighty dollar
And the almighty power of that ch-cha-cha-chopper
Sister, brother, son, daughter, father; mother-fuck a copper
Got the Maserati dancin' on the bridge, pussy poppin'
Tell the coppers: ""Ha-ha-ha-ha
You can't catch him, you can't stop him""
I go by them goon rules: if you can't beat 'em, then you pop 'em
You can't man 'em, then you mop 'em
You can't stand 'em, then you drop 'em
You pop 'em ‘cause we pop 'em like Orville Redenbacher

Motherfucker, I'm ill

A million here, a million there
Sicilian bitch with long hair, with coke in her derriere
Like smoking the thinnest air
I open the Lamborghini, hopin' them crackers see me
Like, ""Look at that bastard Weezy!""
He's a beast, he's a dog, he's a mothafuckin' problem
Okay, you're a goon, but what's a goon to a goblin?
Nothin', nothin', you ain't scarin' nothin'
On some faggot bullshit: call 'em Dennis Rodman
Call me what you want, bitch! Call me on my Sidekick!
Never answer when it's private, damn, I hate a shy bitch
Don't you hate a shy bitch? Yeah, I ate a shy bitch
She ain't shy no more, she changed her name to My Bitch
Yeah, nigga, that's my bitch, so when she ask
For the money when you through, don't be surprised, bitch!
And it ain't trickin' if you got it
But you like a bitch with no ass: You ain't got shit
Motherfucker, I'm ill, not sick
And I'm okay, but my watch sick, yeah, my drop sick
Yeah, my Glock sick, and my knot thick — I'm it

Motherfucker, I'm ill

See, they say I'm rappin' like B.I.G., Jay, and 2Pac
André 3000, where is Erykah Badu at? Who that?
Who that said they gon' beat Lil Wayne?
My name ain't Bic, but I keep that flame, man
Who that one that do that, boy?
You knew that true that, swallow
And I be the shit, now you got loose bowels
I don't owe you like two vowels
But I would like for you to pay me by the hour
And I'd rather be pushin' flowers
Than to be in the pen sharin' showers
Tony told us this world was ours
And the Bible told us every girl was sour
Don't play in her garden and don't smell her flower
Call me Mr. Carter or Mr. Lawn Mower
Boy, I got so many bitches, like I'm Mike Lowrey
Even Gwen Stefani said she couldn't doubt me
Motherfucker, I say ""Life ain't shit without me""
Chrome lips pokin' out the coupe, look like it's poutin'
I do what I do, and you do what you can do about it
Bitch, I can turn a crack rock into a mountain — dare me
Don't you compare me, ‘cause there ain't nobody near me
They don't see me but they hear me
They don't feel me but they fear me
I'm illy, C3, 3 Peat"
1,Right Above It,"Kane is in the building

Who else is really trying to fuck with Hollywood Cole
I'm with Marley G's bro
Flying Holly Grove chicks to my Hollywood shows
And I wanna tell you something that you probably should know
This that Slum Dog Millionaire Bollywood flow and uh
My real friends never hearing from me
Fake friends write the wrong answers on the mirror for me
That's why I pick and choose, I don't get shit confused
I got a small circle, I'm not with different crews
We walk the same path, but got on different shoes
Live in the same building, but we got different views
I got a couple cars, I never get to use
Don't like my women single, I like my chicks in twos
And these days all the girls are down to roll
I hit the strip club, and all them bitches find a pole
Plus I be sipping, so this shit is moving kinda slow
Just tell my girl to tell her friend that it's time to go

Now tell me how you love it
You know you at the top when only heaven is right above it
We on, it's Young Money motherfucker
If you ain't running with it, run from it motherfucker
Alright, now somebody show some money in this bitch
And I got my b's with me like some honey in this bitch, you dig
I got my gun in my boo purse
And I don't bust back, because I shoot first

Meet me on the fresh train, yes I'm in the building
You just on the list of guest names
And all of my riders do not give a fuck, X-Games
Guns turn you boys into pussies, sex change
And I smoke 'til I got chest pains
And you niggas know I rep my gang like Jesse James
Women are possessive, and they wanna possess Wayne
I been fly so long I fell asleep on the fucking plane
Skinny pants and some Vans
Call me Triple A, get my advance in advance, amen
As the world spinning, dance in my hands
Life is a beach, I'm just playing in the sand
Uh, wake up and smell the pussy
You niggas can't see me, but never overlook me
I'm on a paper trail and ain't no telling where it took me
Yeah, and I ain't a killer but don't push me

Now tell me how you love it
You know you at the top when only heaven is right above it
We on, it's Young Money motherfucker
If you ain't running with it, run from it motherfucker
Alright, now somebody show some money in this bitch
And I got my b's with me like some honey in this bitch, you dig
I got my gun in my boo purse
And I don't bust back, because I shoot first

How do you say what's never said?
Beautiful black woman, I bet that bitch look better red
Limping off tour, cause I made more on my second leg
Muthafuckin' Birdman Jr., 11th Grade
Ball on automatic start
I can hand it to Drake or do a quarterback draw
Wildcat offense, check the paw prints
We in the building, you niggas in apartments
Uh, now come on be my blood donor
Flow so nice you ain't gotta put a rug on her
Do it big and let the small fall under that
Damn where you stumbled at? From where they make Gumbo at
Kane got the fucking beat jumping like a jumping jack
And you know me, I get on this bitch and have a heart attack
Hip-Hop, I'm the heart of that
Nigga, nothing short of that
President Carter, Young Money Democrat

Now tell me how you love it
You know you at the top when only heaven is right above it
We on, it's Young Money motherfucker
If you ain't running with it, run from it motherfucker
Alright, now somebody show some money in this bitch
And I got my b's with me like some honey in this bitch, you dig
I got my gun in my boo purse
And I don't bust back, because I shoot first"
2,6 Foot 7 Foot,"Six-foot, seven-foot, eight-foot bunch
Six-foot, seven-foot, eight-foot bunch

Excuse my charisma, vodka with a spritzer
Swagger down pat; call my shit Patricia
Young Money militia and I am the commissioner
You no wan' start Weezy ‘cause the 'F' is for finisher
So misunderstood, but what's a world without enigma?
Two bitches at the same time; synchronized swimmers
Got the girl twisted ‘cause she open when you twist her
Never met the bitch, but I fuck her like I missed her
Life is the bitch, and death is her sister
Sleep is the cousin—what a fuckin' family picture
You know Father Time, and we all know Mother Nature
It's all in the family, but I am of no relation
No matter who's buyin', I'm a celebration
Black and white diamonds; fuck segregation
Fuck that shit, my money up, you niggas just Honey Nut
Young Money runnin' shit, and you niggas just runner-ups
I don't feel I done enough, so I'ma keep on doin' this shit
Lil Tunechi or Young Tuna Fish

Six-foot, seven-foot, eight-foot bunch
Six-foot, seven-foot, eight-foot bunch
I'm goin' back in…

Okay, I lost my mind, it's somewhere out there stranded
I think you stand under me if you don't understand me
Had my heart broken by this woman named Tammy
But hoes gon' be hoes, so I couldn't blame Tammy
Just talked to Moms, told her she the sweetest
I beat the beat up; call it self-defense
Swear, man, I be seein' through these niggas like sequins
Niggas think they He-Men, pow, pow, the end
Talkin' to myself because I am my own consultant
Married to the money, fuck the world; that's adultery
You full of shit, you close your mouth and let yo' ass talk
Young Money eatin', all you haters do is add salt
Stop playin', bitch, I got this game on deadbolt
Mind so sharp I fuck around and cut my head off
Real nigga all day and tomorrow
But these motherfuckers talkin' crazy like they jaw broke
Glass half empty, half full, I'll spill ya
Try me and run into a wall; outfielder
You know I'ma ball 'til they turn off the field lights
The fruits of my labor, I enjoy 'em while they still ripe
Bitch, stop playin', I do it like a king do
If these niggas animals, then I'ma have a mink soon
Tell 'em bitches I say put my name on the wall
I speak the truth, but I guess that's a foreign language to y'all
And I call it like I see it, and my glasses on
But most of y'all don't get the picture 'less the flash is on
Satisfied with nothin', you don't know the half of it
Young Money, Cash Money
Paper chasin', tell that paper, ""Look, I'm right behind ya""
Bitch, real Gs move in silence like lasagna
People say I'm borderline crazy, sorta kinda
Woman of my dreams, I don't sleep so I can't find her
You niggas are gelatin, peanuts to an elephant
I got through that sentence like a subject and a predicate
Yeah, with a swag you would kill for
Money too strong; pockets on bodybuilder
Jumped in a wishin' well, now wish me well
Tell 'em kiss my ass, call it kiss and tell

Word to my mama, I'm out of my lima bean
Don't wanna see what that drama mean
Get some Dramamine
Llama scream, hotter than summer sun on a Ghana queen
Now all I want is hits, bitch, Wayne signed a fiend
I played the side for you niggas that's tryna front, and see
Son of Gun, Son of Sam, you nigga's the son of me
Pause for this dumber speech, I glow like Buddha
Disturb me, and you'll be all over the flo' like Luda
Bitch, I flow like scuba, bitch, I'm bold like Cuba
And I keep a killer ho, she gon' blow right through ya
I be mackin', 'bout my stackin', now I pack like a mover
Shout to ratchet for backin' out on behalf of my shooter
Niggas think they high as I, I come laugh at your ruler
Cash Money cold, bitch, but our actions is cooler
Wayne, these niggas out they mind
I done told these fuck niggas so many times
That I keep them bucks steady on my mind
Tuck these, I fuck these on your mind, pause
To feed them, on my grind, did I get a little love
Keep throwin' my sign in the middle
Hit 'em up, piece on my side
‘Cause ain't no peace on my side, bitch
I'm a man, I visit urinals with pride
Tune told me to, I'm shootin' when the funeral outside
I'm uptown, thoroughbred, a BX nigga, ya heard? Gunna"
3,Drop the World,"I got ice in my veins, blood in my eyes
Hate in my heart, love in my mind
I seen nights full of pain, days are the same
You keep the sunshine, save me the rain
I search but never find, hurt but never cry
I work and forever try, but I'm cursed, so never mind
And it's worse, but better times seem further and beyond
The top gets higher the more that I climb
The spot gets smaller and I get bigger
Tryin' to get in where I fit in, no room for a nigga
But soon for a nigga it be on, motherfucker
‘Cause all this bullshit done made me strong, motherfucker

So I pick the world up
And I'ma drop it on your fuckin' head
Bitch, I'ma pick the world up
And I'ma drop it on your fuckin' head
And I could die now, rebirth, motherfucker
Hop up in my spaceship and leave Earth, motherfucker
I'm gone, motherfucker, I'm gone

I know what they don't wanna tell you
Just hope you're heaven-sent, and you're hell-proof
I walk up in the world and cut the lights off
And confidence is a stain they can't wipe off
My word is my pride
But wisdom is bleak, and that's a word from the wise
Served to survive, murdered and bribed
And when it got too heavy I put my burdens aside

So I can pick the world up
And I'ma drop it on your fuckin' head
Bitch, I'ma pick the world up
And I'ma drop it on your fuckin' head
And I could die now, rebirth, motherfucker
Hop up in my spaceship and leave Earth, motherfucker
I'm gone, motherfucker, I'm gone

It hurts, but I never show
This pain you'll never know
If only you could see just how lonely and how cold
And frostbit I've become
My back's against the wall
When push come to shove
I just stand up and scream: ""Fuck 'em all!""

Man, it feels like these walls are closin' in
This roof is cavin' in, up it's time to raise it, then
Your days are numbered like pages in
My book of rhymes; got 'em cookin', boy
This crooked mind of mines got 'em all shook
And scared to look in my eyes
I stole that fuckin' clock: I took the time
And I came up from behind and pretty much snuck up
And butt-fucked this game up
Better be careful when you bring my name up
Fuck this fame, that ain't what I came to claim
But the game ain't gonna be the same on the day that I leave it
But I swear, one way or another
I'ma make these fuckin' haters believe it
I swear to God, won't spare the rod
I'm a man of my words, so your fuckin' heads better nod
Or I'ma fuck around in this bitch and roast everybody
Sleep on me, that pillow is where your head'll lie
Permanently, bitch, it's beddy-bye
This world is my Easter egg, yeah, prepare to die!
My head is swole
My confidence is up, this stage is my pedestal
I'm unstoppable, Incredible Hulk
You're trapped in my medicine ball
I could run circles around you so fast your fuckin' head'll spin, dog
I'll split your cabbage and your lettuce and olives, I'll fuckin'—

Pick the world up and I'ma drop it on your fuckin' head
Bitch, I'ma pick the world up
And I'ma drop it on your fuckin' head
And I could die now, rebirth, motherfucker
Hop up in my spaceship and leave Earth, motherfucker
I'm gone, motherfucker, I'm gone"
4,She Will,"I tell her, ""Now go and pop that pussy for a real nigga!""
I already know that life is deep, but I still dig her
Niggas is jealous, but really I could care less
I'm in Hell's Kitchen with an apron and a hairnet
Devil on my shoulder, the Lord as my witness
So on my Libra scale I'm weighin' sins and forgiveness
What goes around comes around like a hula hoop
Karma is a bitch? Well, just make sure that bitch is beautiful
Life on the edge, I'm danglin' my feet
I tried to pay attention but attention paid me
Haters can't see me: nose-bleed seats
And today I went shoppin' and talk is still cheap
I rock to the beat of my drum set
I been at the top for a while and I ain't jump yet
But I'm Ray Charles to the bullshit
Now jump up on that dick and do a full split!

Uh, she just started to pop it for a nigga
And looked back and told me, ""Baby, it's real.""
And I say, ""I ain't doubt you for a second.""
I squeeze it and I could tell how it feel
I wish we could take off
And go anywhere but here, baby, you know the deal
‘Cause she bad so maybe she won't
Uh, but shit, then again, maybe she will
Do it for the realest niggas
In the fuckin' game right now, she will
Do it for the realest niggas
In the fuckin' game right now, she will
Maybe for the money and the power
And the fame right now, she will
Do it for the realest niggas
In the fuckin' game right now, she will

I tell her, ""Now go and pop that pussy for me!""
Haters can't see me, but them bitches still lookin' for me
And you could take it to the bank and deposit that
Put your two cents in and get a dollar back
Some people hang you out to dry like a towel rack
I'm all about I, give the rest of the vowels back
I like my girl thick, not just kinda fine
Eat her 'til she cry, call that ""wine and dine""
Try to check me and I'ma have 'em checkin' pulses
They say ""choose wisely,"" that's why I was chosen
Rockin' like the asphalt, it's the cash fault
Looked in the face of Death and took its mask off
Now I like my house big and my grass soft
I like my girl's face south and her ass north
But I'm Ray Charles to the bullshit
Now hop up on that dick and do a full split!

Uh, she just started to pop it for a nigga
And looked back and told me, ""Baby, it's real.""
And I say, ""I ain't doubt you for a second.""
I squeeze it and I could tell how it feel
I wish we could take off
And go anywhere but here, baby, you know the deal
‘Cause she bad so maybe she won't
Uh, but shit, then again, maybe she will
Do it for the realest niggas
In the fuckin' game right now, she will
Do it for the realest niggas
In the fuckin' game right now, she will
Maybe for the money and the power
And the fame right now, she will
Do it for the realest niggas
In the fuckin' game right now, she will"
5,Mirror,"Uh, with everything happening today
You don't know whether you're coming or going, but
You think that you're on your way
Life lined up on the mirror, don't blow it

Woah, look at me when I'm talking to you
You looking at me but I'm looking through you
I see the blood in your eyes
I see the love in disguise
I see the pain hidden in your pride
I see you're not satisfied
And I don't see nobody else
I see myself, I'm looking at the..

Mirror on the wall (Woah)
Here we are again (Yeah)
Through my rise and fall (Uh)
You've been my only friend (Yeah)
You told me that they can
Understand the man I am
So why are we here
Talking to each other again?

Uh, I see the truth in your lies
I see nobody by your side
But I'm with you when you're all alone
And you correct me when I'm looking wrong
I see the guilt beneath the shame
I see your soul through your window pane
I see the scars that remain
I see Wayne, I'm lookin' at the..

Mirror on the wall
Here we are again (Yeah)
Through my rise and fall (Uh-huh)
You've been my only friend (My only friend)
You told me that they can
Understand the man I am (They can't understand)
So why are we here (Misunderstood)
Talking to each other again? (Woah)

Looking at me now I can see my past
Damn, I look just like my fucking dad
Light it up, that's smoke and mirrors
I even look good in a broken mirror
I see my mama smile, that's a blessing
I see the change, I see the message
And no message coulda been any clearer
So I'm starting with the man in the...

Mirror on the wall (MJ taught me that)
Here we are again
Through my rise and fall (Uh)
You've been my only friend (Take 'em to Mars, man)
You told me that they can
Understand the man I am
So why are we
Talking to each other again? (Uh)
Mirror on the wall (Woah)
Here we are again (Yeah)
Through my rise and fall
You've been my only friend (Any questions?)
You told me that they can (I come to you)
Understand the man I am (You always have the answer)
So why are we here
Talking to each other again?

Mirror on the wall
Hey B.P, looks like I did take 'em to Mars this time
So why are we
Talking to each other again?"
6,Blunt Blowin',"Yeah, I put my shades on

I live it up like these are my last days
If time is money, I'm an hour past paid
Ugh, gunpowder in my hourglass
Niggas faker than some flour in a powder bag
Yeah, I put it down like my hands hurting
I'm on a natural high, but I land perfect
Some of us are lovers, most of y'all haters
But I put up a wall, and they just wallpaper
So love or hate me, I stay hate-free
They say we learn from mistakes; why, that's why they mistake me
I got some weight on my shoulders, to me it's like feathers
All hail Weezy, call it bad weather
I stick to the script, I memorize the lines
Cause life is a movie that I've seen too many times
You're on the outside looking in, close the blinds
And they say never say never, but fuck it, nevermind
I've been gone too long, true or false, right or wrong
Hello Weezy, welcome home, yeah

And I'm a blunt-blowin', Polo-drawers-showin'
I-don't-give-a-lovely-motherfuck-ass-nigga
With my money growing, no matter where you going
You don't need a bus pass for me to bust yo ass, nigga
I'm a blunt-blowin', Polo-drawers-showin'
I-don't-give-a-lovely-motherfuck-ass-nigga
With my money growing, no matter where you going
You don't need a bus pass for me to bust yo ass, nigga

Stunna, I got 'em, I'm back on them bitches
All about my riches, my name should be Richard
Cut the bullshit out, I'm Edward with the scissors
Life is a choice, and death is a decision
Times have changed, but fuck it get a new watch
I still got the vision like a line between two dots
Young Money's eating, the label getting fatter
And yea, the tables turned, but I'm still sitting at 'em
I'm a bad motherfucker cause the good die young
Everybody selling dreams, I'm too cheap to buy one
Man, when that cookie crumble, everybody want a crumb
Shoot that hummingbird down, hummingbird don't hum
Yea, big money, big money, deep pockets
Money talks, and motherfuckers eavesdropping
Bunch of bloods, you could call it blood clotting
Eastside, MOB Piru Damu

I'm a blunt-blowin', Polo-drawers-showin'
I-don't-give-a-lovely-motherfuck-ass-nigga
With my teeth glowing, I'm on my Deebowin'
You don't need a bus pass for me to bust yo ass, nigga

Light that Ashton Kutcher, I'm a limit pusher
See y'all dead meat, and me I'm just a butcher
I do it for the money, man I am such a hooker
And freedom was my girl, until they fucking took her
You can look into the future, it's right behind your eyelids
But I don't wanna know, cause shit I like surprises
Why that, why this, why you on that why shit?
Motherfucker ask me why, I say YM
Beach bum, call me Ocean Drive Slim
Drop the top, look up and make the sky grin
Young Mula, skinnies and some Supras
Belly of the beast 'til it puke us, motherfucker

I'm a blunt-blowin', Polo-drawers-showin'
I-don't-give-a-lovely-motherfuck-ass-nigga
With my money growing, no matter where you going
You don't need a bus pass for me to bust yo ass, nigga

I've been gone too long
True or false, right or wrong
Hello Weezy, welcome home
It's Young Mula, baby"
7,No Worries,"You can look me in my face
(I ain't got no worries)
(I ain't got no worries)
(I ain't got no worries)
See the sh-rooms keep me up
(I ain't got no worries)
(I ain't got no worries)
(I ain't got no worries)
You see money right there, yeah that's Tunechi right there (turn up)
Yeah that's Mack Maine right there, and we ain't got no worries
You see pussy right there redbone mangos right there
See them sh-roomies right there we ain't got no worries

Tunechi in this bitch, e'rybody should be worried
Them pussy niggas be purring, bitches be diggin' me I feel buried
And if she make this dick hard, she woke up a sleeping giant
Man your bitch speak in tongues every time we speak in private
Hope your barber shop open cause we got hair triggers
Smoke so much that Smokey the Bear’ll have to bear with us
And that Jeep with the doors off that means that bitch sleep
All these bitches think they’re the shit, I’ll send them up shit’s creek
You see Tunechi right here, give me brain ideas
It's ok if you turn up just don't turn off my light years
All I know is I do it what I'm smoking I grew it
B’s up, Blood Gang; Piru it, and all rats gotta die even Stuart
On my private jet and my stewardess is your bitch nigga, bitch Nigga
I know gold-diggers and ditch-diggers
You don't get dissed, you get disfigured
She say sorry I didn't shave so that pussy a little furry
I put that pussy in my face: I ain't got no worries
Tunechi

You can look me in my face
(I ain't got no worries)
(I ain't got no worries)
(I ain't got no worries)
See the sh-rooms keep me up
(I ain't got no worries)
(I ain't got no worries)
(I ain't got no worries)
You see money right there, yeah that's Tunechi right there (turn up)
Yeah that's Mack Maine right there, and we ain't got no worries
You see pussy right there redbone mangos right there
See them sh-roomies right there we ain't got no worries

We ain't got no worries
She bad as a hooker, so she ain't got no worries
She want me to eat her sugar, I say ""Why you in a hurry?""
She say ""Why you asking questions?"" I say ""Bitch you trynna be funny!""
Now take your fucking clothes off, let me see that Donkey Kong
I swing your ass back and forth, back and forth on my monkey bar
That camel toe that camel toe, no worries no panty-hose
These niggas falling off like baggy clothes, I smoke more than a magic show
I swear I saw my ho, I swear she was with my ho
You know I fuck them both, sore pussy and sore throat
Bitch it's Tunechi and I'm out chea, no worries no worries
I would talk about my dick, but man that shit be a long story
YEAHHH, OHH SHIT, I'M UP, YEAHH, YOUNG MULA BABY!

You can look me in my face
(I ain't got no worries)
(I ain't got no worries)
(I ain't got no worries)
See the sh-rooms keep me up
(I ain't got no worries)
(I ain't got no worries)
(I ain't got no worries)
You see money right there, yeah that's Tunechi right there (turn up)
Yeah that's Mack Maine right there, and we ain't got no worries
You see pussy right there redbone mangos right there
See them sh-roomies right there"
8,Love Me,"I'm on that good kush and alcohol
I got some down bitches I can call
I don't know what I would do without y'all
I'ma ball 'til the day I fall

Yeah, long as my bitches love me (yeah, yeah)
I can give a fuck 'bout no hater
Long as my bitches love me
I can give a fuck 'bout no niggas
Long as these bitches love me

Uh, pussy-ass nigga, stop hatin'
Lil Tunechi got that fire
And these hoes love me like Satan, man
Fuck with me and get bodied
And all she eat is dick; she's on a strict diet
That's my baby, with no makeup she a ten
And she the best with that head
Even better then Karrine
She don't want money
She want the time that we could spend
She said: ""‘Cause I really need somebody
So tell me you're that somebody.""
Girl, I fuck who I want, and fuck who I don't!
Got that A1 credit, that's that filet mignon
She said: ""I never want to make you mad
I just want to make you proud.""
I said: ""Baby, just make me cum, then don't make a sound.""

I'm on that good kush and alcohol
I got some down bitches I can call
I don't know what I would do without y'all
I'ma ball 'til the day I fall

Yeah, long as my bitches love me (yeah, yeah)
I can give a fuck 'bout no hater
Long as my bitches love me
I can give a fuck 'bout no niggas
Long as these bitches love me

Real nigga, fuck these haters!
These hoes got pussies like craters
Can't treat these hoes like ladies, maaaan
Pussy, money, weed, codeine
She said my dick feel like morphine
I hope my name taste like sardines to these niggas
She wake up, eat this dick
Call that breakfast in bed, 69, 96
I feel her heartbeat, I chest-to-chest with this bitch
Now turn around, face down; I'm arrestin' this bitch
All my bitches love me, and I love all my bitches
But it's like as soon as I cum, I come to my senses
And I would say these hoes' names
But then I would be snitchin'
And these haters try to knock me
But they can't knock me off the hinges; Lil Tunechi!

I'm on that good kush and alcohol
I got some down bitches I can call
I don't know what I would do without y'all
I'ma ball 'til the day I fall

Yeah, long as my bitches love me (yeah, yeah)
I can give a fuck 'bout no hater
Long as my bitches love me
I can give a fuck 'bout no niggas
Long as these bitches love me

I lost a few good bitches
Met some more bad bitches
And I be schooling them niggas
Pose for your class picture
Now kiss my ass if you hating
I'm getting ass, or I'm skating
I lost a few good bitches
Met some more bad bitches
And I be schooling them niggas
Pose for your class picture
Now kiss my ass if you hating
I'm getting ass, or I'm skating, bitch!

I'm on that good kush and alcohol
I got some down bitches I can call
I don't know what I would do without y'all
I'ma ball 'til the day I fall

Yeah, long as my bitches love me (yeah, yeah)
I can give a fuck 'bout no hater
Long as my bitches love me
I can give a fuck 'bout no niggas
Long as these bitches love me"
9,Rich As Fuck,"Uh, AK on my nightstand, right next to that Bible
But I swear with these fifty shots, I'll shoot it out with 5-0
Pockets gettin' too fat, no Weight Watchers, no lipo
Money talks, bullshit walks on a motherfucking tightrope
And I make that pussy tap out, I knock that pussy out cold
Nigga you get beat the crap out, but that's just how the dice roll
These hoes want that hose pipe, so I give all these hoes pipe
She get on that dick and stay on, all night, like porch lights
Let's do it, fuck talkin', we out here, we ballin'
And I'm spraying at these rusty niggas like WD-40
We fucked up, we Truk'd up; no if, ands, or butt-fucks
Bitch niggas go behind ya back like nunchucks and that's fucked up
But my hoes down, my cups up, my niggas down for whatever
These bitches think they're too fly, well, tell them hoes I pluck feathers
I'm Tunechi, Young Tunechi, I wear Trukfit, fuck Gucci
She's blowing kisses at me with her pussy lips, smooches
And that's 2 Chainz

Look at you, now look at us...
All my niggas look rich as fuck
All my niggas live rich as fuck
All my niggas look rich as fuck!
Look at you, now look at us...
All my niggas look rich as fuck
All my niggas live rich as fuck
All my niggas look rich as fuck!

Never talk to the cops, I don't speak Pig Latin
I turnt a penny to a motherfuckin Janet Jackson
Tell the bitches that be hatin' I ain't got no worries
I just want to hit and run like I ain't got insurance
Ho, what's your name? What's your sign? Zodiac Killer
All rats gotta die, even Master Splinter, yeah, murder, 187
I be killing them bitches, I hope all dogs go to heaven
And I got Xanax, Percocet, Promethazine with Codeine
Call me Mr. Sandman, I'm sellin' all these hoes dreams
Got a white girl with big titties, flat-ass TV screen
I keep a bad bitch, call me the B.B. King
And you know I got that mouth out her
Then put that bitch out like a house fire
I'm killing these hoes like Michael Myers
I eat that cat just like a lion
And I can't trust none of these niggas
Can't trust none of these hoes
And I see your girl when I want, I got that ho TiVo'd
Got a red-ass bitch with a red-ass pussy
Nigga try me, that's a dead-ass pussy
Since y'all motherfuckers so blind to the fact
To tell you the truth, I don't care who's lookin'
All I know is I love my bitch and pussy feel just like heaven on earth
Six feet deep, dick shovelin' the dirt, R.I.P. — Rest In Pussy
Light that shit, then pass that shit, we gon get so smoked out
And then I went got locked up, every night I dreamt I broke out
One time for them pussy niggas, that's that shit I don't like
We eatin' over here nigga, fuck around and have a food fight
And that's 2 Chainz

Look at you, now look at us...
All my niggas look rich as fuck
All my niggas live rich as fuck
All my niggas look rich as fuck!
Look at you, now look at us...
All my niggas look rich as fuck
All my niggas live rich as fuck
All my niggas look rich as fuck!

And your nigga a ho"
